timestamp	step	epoch
1654421260151	0	1.0
1654421262741	1	2.0
1654421265346	2	3.0
1654421267851	3	4.0
1654421270411	4	5.0
1654421272892	5	6.0
1654421275467	6	7.0
1654421278009	7	8.0
1654421278010	8	8.0
